archetype,example target vector
1-mono,+x
2-cis,"+x, +y"
2-trans,"+x, -x"
3-facial,"+x, +y, +z"
3-meridional,"+y, +x, -y"
3-trigonal,"xy(0), xy(120), xy(240)"
4-facial,"+x, +y, +z, -z"
4-tetragonal,"+x, +y, -x, -y"
4-tetragonal-offset,"(1,0,–1), (0, 1,-1), (-1,0,-1), (0,-1,-1)"
4-tetrahedral,"(1,1,-1), (-1,1,1), (1,-1,1), (-1,-1,-1)"
4-meridional,"xy(0), xy(60), xy(120), xy(180)"
4-trigonal-pyramidal,"xy(0), xy(120), xy(240), +z"
5-pentagonal,"xy(0), xy(72), xy(144), xy(216), xy(288)"
5-square-pyramidal,"+x, +y, -x, -y, +z"
6-hexagonal,"xy(0), xy(60), xy(120), xy(180), xy(240), xy(300)"
6-pentagonal-pyramidal,"+z, xy(0), xy(72), xy(144), xy(216), xy(288)"
6-octahedral,"+x, +y, +z, -x, -y, -z"
6-trigonal-prismatic,"(0,1,-0.5), (0.87,-0.5,-0.5), (-0.87,-0.5,-0.5), (0,1,0.5), (0.87,-0.5,0.5), (-0.87,-0.5,0.5)"
7-septa,"xy(0), xy(51.4), xy(102.9), xy(154.3), xy(205.7), xy(257.1), xy(308.6) "
8-octa,"xy(0), xy(45), xy(90), xy(135), xy(180), xy(225), xy(270), xy(315)"
9-nona,"xy(0), xy(40), xy(80), xy(120), xy(160), xy(200), xy(240), xy(280), xy(320)"
10-deca,"xy(0), xy(36), xy(72), xy(108), xy(144), xy(180), xy(216), xy(252), xy(288), xy(324)"
