Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-OZIYON-02-a,C10H6F2N2,2,0,N-N,20,192.1688063,0.767081198,FALSE,TRUE,8.745613587,2.141244286,9cfe1644c35cf7f9ef3b747b268cd586,1,OZIYON,Ir(1)
unq_CSD-OZIYON-02-b,C11H6F2N1,2,-1,N-C,20,190.1728063,0.721616381,FALSE,TRUE,9.172156942,2.026949628,2a93874ecbf095e56bd1ffb4f397fca5,478,"OZIYON, OZIYON, PAQJAV, PAQJAV, PEDFOW, ... (473 more)","Ir(428), Pt(44), Os(4), Au(1), Ru(1)"
unq_CSD-OZIYUT-02-a,C12H6N4,2,0,N-N,22,206.208,0.712135907,FALSE,TRUE,9.435361658,2.140628318,9b251f2d814f462e3fbe4b4529f6ad1a,9,"OZIYUT, POQROF, VOMKAK, EPUMAG, IPIROQ, ... (4 more)","Re(6), Ir(1), Pt(1), Ru(1)"
unq_CSD-OZIYUT-02-b,C11H8N1,2,-1,N-C,20,154.192,0.678103343,FALSE,TRUE,8.792030975,2.035979761,831ca3ecca936a445b8bb1360bfea335,1295,"OZIYUT, OZIYUT, OZIZAA, OZIZAA, PARWAG, ... (1290 more)","Ir(927), Pt(166), Ru(53), Pd(49), Au(31), ... (12 more)"
unq_CSD-OZIZAA-02-a,C12H12N2O2,2,0,N-N,28,216.24,0.34771936,FALSE,TRUE,9.370893751,2.142716776,df80a13dd9221f00d698a5746f63c98d,129,"OZIZAA, PEBWOK, PEBWOK, PODSEJ, POJDOK, ... (124 more)","Ru(31), Re(28), Ir(14), Cu(13), Ni(6), ... (16 more)"
unq_CSD-OZIZII-01-a,C6H4N1O4S2,1,-1,N,17,218.221,0.29168223,FALSE,FALSE,6.187005571,2.147536123,b2fb64328cec488dcc532b1fb70e8ac3,14,"OZIZII, UDACAG, UDACAG, VEJQEI, WAKMAW, ... (9 more)","Ag(9), Au(3), Cd(2)"
unq_CSD-OZIZII-01-b,C6H7N1,1,0,N,14,93.129,0.466801009,FALSE,TRUE,5.266036541,2.161885062,106605a0b0c5acf30479a5a34022b0d2,530,"OZIZII, OZULIF, OZULIF, OZULIF, OZULIF, ... (525 more)","Ru(75), Ni(73), Co(61), Cu(48), Pd(47), ... (21 more)"
unq_CSD-OZOBAJ-01-a,C1O1,1,0,C,2,28.01,1,FALSE,FALSE,1.164694041,1.781192421,a25e14e4aa210c45bc02f7030ce16061,40615,"OZOBAJ, OZOBAJ, OZOBEN, OZOBEN, OZOCEO, ... (40610 more)","W(7841), Re(7240), Cr(6348), Fe(4388), Mo(4347), ... (19 more)"
unq_CSD-OZOCEO-01-a,H1,1,-1,H,1,1.008,1,FALSE,FALSE,,1.421335981,85246b5198c22112b269ce5c126747e2,4573,"OZOCEO, OZOCIS, OZOCUE, PABJEJ, PABJIN, ... (4568 more)","Ir(1156), Ru(1106), Os(504), Rh(366), Fe(321), ... (23 more)"
unq_CSD-OZOCIS-01-b,C7H7S1,1,-1,S,15,123.193,0.358088228,FALSE,TRUE,6.174178395,2.364315546,a11a02e5291f94578ca08303f182245e,36,"OZOCIS, SOPHIP, TERREN, TERREN, MAYHID, ... (31 more)","Zn(13), Pd(6), Ni(5), Mo(3), Fe(2), ... (5 more)"
