attempt,success,complex idx,complex name,stoichiometry,graph hash,note,ligand names,ligand stoichiometries,ligand charges,ligand donors,batch idx,batch name,metal,oxi state,topology,similarity,total charge,optimization,isomers,random seed
0,False,,,C67H87N4O2P1Pd1S1Te1,,non-planar tridentate,"('unq_CSD-PAQSAC-03-a', 'unq_CSD-PAYFIF-02-a', 'unq_CSD-PAFQOD-01-a')","('C35H52N2', 'C19H21N2O1P1', 'C13H14O1S1Te1')","(-2.0, 0.0, 0.0)","('C-N-N', 'N-P', 'Te')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
1,False,,,C65H92N4O1P2Pd1,,clashing ligands,"('unq_CSD-PALCOW-03-a', 'unq_CSD-PAWQUA-02-a', 'unq_CSD-PAZNIO-01-b')","('C26H40N1P2', 'C12H14N1O1', 'C27H38N2')","(-1.0, -1.0, 0.0)","('N-P-P', 'C-O', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
2,False,,,C72H77N2O3P3Pd1,,non-planar tridentate,"('unq_CSD-PAKGEO-03-a', 'unq_CSD-PAWZUL-02-a', 'unq_CSD-PASQEI-01-c')","('C41H39P3', 'C16H15N2O2', 'C15H23O1')","(0.0, -1.0, -1.0)","('P-P-P', 'N-O', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
3,False,,,C64H64F5N5O2Pd1,,clashing ligands,"('unq_CSD-PAYSOY-03-a', 'unq_CSD-PAVPOU-02-a', 'unq_CSD-PAGGOX-01-a')","('C43H47N3', 'C15H17N2O2', 'C6F5')","(0.0, -1.0, -1.0)","('N-N-N', 'N-O', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
4,False,,,C51H39Cl1F3N3P2Pd1S2,,clashing ligands,"('unq_CSD-PEDKAL-03-a', 'unq_CSD-PARHUM-02-a', 'unq_CSD-PABDOO-01-a')","('C8H6Cl1N3S1', 'C25H21P1S1', 'C18H12F3P1')","(-2.0, 0.0, 0.0)","('C-N-S', 'P-S', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
5,True,0.0,EVUMUMIP,C25H21N7O5Pd1,50b58d1e5a2b1c202c8fefcd6cc64dc8,no optimization,"('unq_CSD-PEBQET-03-a', 'unq_CSD-PACTUM-02-a', 'unq_CSD-PAHWOL-01-b')","('C13H11N2O1', 'C6H3N4O4', 'C6H7N1')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
6,True,1.0,IQUGAKAB,C40H30N6O3Pd1S3,b626c65659b6179056bc9d3f95f2c54a,no optimization,"('unq_CSD-PEDNAO-03-a', 'unq_CSD-PAKJIU-02-a', 'unq_CSD-PABSIY-01-a')","('C19H14N3S2', 'C10H8N2S1', 'C11H8N1O3')","(-1.0, 0.0, -1.0)","('N-S-S', 'N-N', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
7,False,,,C56H52N2O1P2Pd1S2,,clashing ligands,"('unq_CSD-PEDMUH-03-a', 'unq_CSD-PAMJUL-02-a', 'unq_CSD-PAXCAS-01-d')","('C20H15N2S2', 'C23H24O1P1', 'C13H13P1')","(-1.0, -1.0, 0.0)","('C-S-S', 'O-P', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
8,False,,,C56H58F3N5P2Pd1S3,,clashing ligands,"('unq_CSD-PANBEO-03-a', 'unq_CSD-PARHOG-02-a', 'unq_CSD-PABDOO-01-a')","('C15H21N5S2', 'C23H25P1S1', 'C18H12F3P1')","(-2.0, 0.0, 0.0)","('N-S-S', 'P-S', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
9,False,,,C34H28Br1F2N7O2Pd1S1,,clashing ligands,"('unq_CSD-PALKAQ-03-a', 'unq_CSD-PASLON-02-a', 'unq_CSD-OZUJID-01-a')","('C15H14N4', 'C19H14F2N3O2S1', 'Br1')","(0.0, -1.0, -1.0)","('C-N-N', 'N-N', 'Br')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
10,False,,,C53H60N4O1P2Pd1Si1,,clashing ligands,"('unq_CSD-PAGLOB-03-a', 'unq_CSD-OZUNON-02-a', 'unq_CSD-OZUTEL-01-a')","('C15H27N2Si1', 'C37H30N2P2', 'C1H3O1')","(-1.0, 0.0, -1.0)","('C-N-N', 'N-P', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
11,False,,,C59H67Cl1N6O1Pd1,,clashing ligands,"('unq_CSD-PAWWOA-03-a', 'unq_CSD-PAYCUN-02-a', 'unq_CSD-PAGQEV-01-a')","('C12H16Cl1N2', 'C18H12N4', 'C29H39O1')","(-1.0, 0.0, -1.0)","('C-N-N', 'N-N', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
12,False,,,C51H39N9O3Pd1,,clashing ligands,"('unq_CSD-PADZIF-03-a', 'unq_CSD-PASZEQ-02-a', 'unq_CSD-PAYRIS-01-b')","('C19H14N3O1', 'C13H8N1', 'C19H17N5O2')","(-1.0, -1.0, 0.0)","('N-N-O', 'C-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
13,False,,,C74H84N6O3Pd1Si1,,clashing ligands,"('unq_CSD-PAKVAB-03-a', 'unq_CSD-PANSOO-02-a', 'unq_CSD-PACYUO-01-b')","('C48H51N4Si1', 'C20H26N1O2', 'C6H7N1O1')","(-1.0, -1.0, 0.0)","('C-C-Si', 'N-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
14,False,,,C28H37N5O2Pd1S1Si2,,clashing ligands,"('unq_CSD-PAPYOX-03-a', 'unq_CSD-PAQTIL-02-a', 'unq_CSD-OZUFIZ-01-a')","('C8H9N3O1', 'C14H10N1O1S1', 'C6H18N1Si2')","(0.0, -1.0, -1.0)","('N-N-O', 'C-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
15,True,2.0,HOKEHAYA,C30H42N2O2Pd1S3Te1,b51b8b52d589a74805c5fbbb8ecc6eab,no optimization,"('unq_CSD-PADTAR-03-a', 'unq_CSD-PADSIW-02-a', 'unq_CSD-PAFQUJ-01-a')","('C12H20O2S1', 'C6H8N2', 'C12H14S2Te1')","(-2.0, 0.0, 0.0)","('O-O-S', 'N-N', 'Te')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
16,False,,,C28H22Br1N7O4Pd1,,non-planar tridentate,"('unq_CSD-PABLUC-03-a', 'unq_CSD-PAXTAM-02-b', 'unq_CSD-PEBZAZ-01-a')","('C12H8N4O2', 'C10H8N2O2', 'C6H6Br1N1')","(-2.0, 0.0, 0.0)","('N-N-O', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
17,False,,,C37H28F4N4O1Pd1,,clashing ligands,"('unq_CSD-PEDGUB-03-a', 'unq_CSD-PAYTER-02-b', 'unq_CSD-OZUQEG-01-a')","('C19H11F4N3', 'C11H10N1O1', 'C7H7')","(0.0, -1.0, -1.0)","('N-N-N', 'N-O', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
18,False,,,C39H36Cl1N7O1Pd1,,clashing ligands,"('unq_CSD-OZUTAG-03-a', 'unq_CSD-PADFIK-02-a', 'unq_CSD-PEBZED-01-b')","('C18H13N4O1', 'C15H17N2', 'C6H6Cl1N1')","(-1.0, -1.0, 0.0)","('N-N-O', 'N-N', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
19,False,,,C59H57F3N3O4P1Pd1,,non-planar tridentate,"('unq_CSD-PAFFEI-03-a', 'unq_CSD-PAPQUT-02-a', 'unq_CSD-PABDOO-01-a')","('C19H21N1O4', 'C22H24N2', 'C18H12F3P1')","(-2.0, 0.0, 0.0)","('N-O-O', 'N-N', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
20,False,,,C57H53F12N5O4Pd1,,clashing ligands,"('unq_CSD-PANLEY-03-a', 'unq_CSD-PANJIZ-02-a', 'unq_CSD-PAQPED-01-b')","('C29H31N3', 'C21H13F12N2', 'C7H9O4')","(0.0, -1.0, -1.0)","('N-N-N', 'N-N', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
21,False,,,C31H43N3O2Pd1S1,,haptic ligand,"('unq_CSD-PADTAR-03-a', 'unq_CSD-PEDFUZ-02-a', 'unq_CSD-PANFER-01-d')","('C12H20O2S1', 'C8H14', 'C11H9N3')","(-2.0, 0.0, 0.0)","('O-O-S', 'C-C', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
22,False,,,C31H45N7Pd1Si1,,non-planar tridentate,"('unq_CSD-PAKFUD-03-a', 'unq_CSD-PAHWIH-02-a', 'unq_CSD-PALTEC-01-a')","('C10H10N6', 'C5H12Si1', 'C16H23N1')","(0.0, 0.0, -2.0)","('N-N-N', 'C-C', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
23,False,,,C36H44N4O4Pd1Se1,,clashing ligands,"('unq_CSD-PAPYOX-03-a', 'unq_CSD-PADZOL-02-a', 'unq_CSD-PAFXUP-01-a')","('C8H9N3O1', 'C13H12N1O3', 'C15H23Se1')","(0.0, -1.0, -1.0)","('N-N-O', 'N-O', 'Se')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
24,True,3.0,INOPIWOY,C21H15N5O6Pd1,04ae0932fb0c61857b0bb76ab8f40d81,no optimization,"('unq_CSD-PASFOF-03-a', 'unq_CSD-PECGAG-02-a', 'unq_CSD-PAYGIF-01-a')","('C15H11N3', 'C6H3N2O5', 'H1O1')","(0.0, -1.0, -1.0)","('N-N-N', 'O-O', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
25,True,4.0,NIHICAME,C55H50N2O3P2Pd1S1,2639e15897eb800668d2e7d8e8049540,no optimization,"('unq_CSD-PABSIY-03-a', 'unq_CSD-PAQQAC-02-a', 'unq_CSD-PADYOJ-01-a')","('C39H32O1P2', 'C10H13N2O2', 'C6H5S1')","(0.0, -1.0, -1.0)","('O-P-P', 'N-O', 'S')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
26,True,5.0,TOVUTEWI,C33H28N8O1Pd1,e185f3adb5cc699c199300ac7c144245,no optimization,"('unq_CSD-PATSIN-03-a', 'unq_CSD-PBIMCU-02-a', 'unq_CSD-OZUTEL-01-a')","('C20H16N5', 'C12H9N3', 'C1H3O1')","(-1.0, 0.0, -1.0)","('C-N-N', 'N-N', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
27,True,6.0,DETITOFU,C32H22F5N7O1Pd1,e1de78940142ce467e12385faf5219f5,no optimization,"('unq_CSD-PADZIF-03-a', 'unq_CSD-PAHWEB-02-a', 'unq_CSD-PACBEB-01-d')","('C19H14N3O1', 'C10H8N4', 'C3F5')","(-1.0, 0.0, -1.0)","('N-N-O', 'N-N', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
28,False,,,C29H35N7O7Pd1S1,,non-planar tridentate,"('unq_CSD-PABLOW-03-a', 'unq_CSD-PEDTOH-02-a', 'unq_CSD-PAZXEV-01-a')","('C11H6N4O1', 'C6H14O3', 'C12H15N3O3S1')","(-2.0, 0.0, 0.0)","('N-N-O', 'O-O', 'C')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
29,False,,,C44H54N5O2P1Pd1,,clashing ligands,"('unq_CSD-PECBEH-03-a', 'unq_CSD-PEBGUB-02-b', 'unq_CSD-PARWIR-01-a')","('C14H9N3O2', 'C12H12N2', 'C18H33P1')","(-2.0, 0.0, 0.0)","('N-O-O', 'N-N', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
30,False,,,C56H64N4O2Pd1S1,,clashing ligands,"('unq_CSD-PAXVEQ-03-a', 'unq_CSD-PANSOO-02-a', 'unq_CSD-PAXCAS-01-a')","('C21H15N3', 'C20H26N1O2', 'C15H23S1')","(0.0, -1.0, -1.0)","('N-N-N', 'N-O', 'S')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
31,False,,,C48H45N6O1P1Pd1,,non-planar tridentate,"('unq_CSD-PABLOW-03-a', 'unq_CSD-PAJNUL-02-a', 'unq_CSD-PACXIC-01-a')","('C11H6N4O1', 'C19H18N2', 'C18H21P1')","(-2.0, 0.0, 0.0)","('N-N-O', 'N-N', 'P')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
32,False,,,C18H21N1O1Pd1,,haptic ligand,"('unq_CSD-PARGUL-03-a', 'unq_CSD-PAPYEL-02-b', 'unq_CSD-PAXQUA-01-a')","('C7H7', 'C10H9O1', 'C1H5N1')","(-1.0, -1.0, 0.0)","('C-C-C', 'C-O', 'N')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
33,False,,,C77H72N4O4P2Pd1,,clashing ligands,"('unq_CSD-PANNUN-03-a', 'unq_CSD-PAFZAZ-02-a', 'unq_CSD-PAVQIN-01-a')","('C23H23N2O3', 'C44H32P2', 'C10H17N2O1')","(-1.0, 0.0, -1.0)","('N-N-O', 'P-P', 'O')",0,Octahedral_Pd(II),Pd,+2,"(3, 2, 1)","(1, 2, 3)",0,False,Generate Lowest Energy,0
