metal,dist_P,dist_N,dist_Br,dist_C,complex,P_N_bite_angle,homo,lumo,hlgap,metal_charge,dir
Pd,2.4362969692601473,2.1116579463398657,2.4588153183648895,2.011187601594426,EDONIDOQ_PN_Pd,89.32536315841634,-7.415882168363608,0.8541775510931714,8.27005971945678,-0.339680175,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EDONIDOQ_PN_Pd
Pd,2.273903194466962,2.260379420696227,2.4872710852712934,1.9899725519435123,ELUSADOT_PN_Pd,81.16162233857307,-7.594981708737692,0.31658108231357657,7.911562791051269,-0.336181405,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ELUSADOT_PN_Pd
Pd,2.412096919929876,2.244639756197846,2.4545084906303565,2.009966533505217,ORIYEBOD_PN_Pd,91.29135206159931,-7.399776212146058,0.5703130190715838,7.970089231217642,-0.300097018,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ORIYEBOD_PN_Pd
Pd,2.230958231386609,2.218230824372764,2.483502874731642,1.9970361607201297,OHAXIBEC_PN_Pd,81.09902582345381,-7.576030203562694,0.2610992094605161,7.83712941302321,-0.399374211,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OHAXIBEC_PN_Pd
Pd,2.265008590547319,2.2136471073824424,2.4982643810282537,1.9960229288268014,UCIJITUY_PN_Pd,89.92059250381352,-7.4218196925815185,0.7378410893848816,8.1596607819664,-0.417852956,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UCIJITUY_PN_Pd
Pd,2.434390699977301,2.159025096047409,2.46658908791617,1.9950370756897295,NIQUTEZU_PN_Pd,87.39932888909857,-7.256027553529515,0.3670451972604112,7.623072750789927,-0.389701648,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/NIQUTEZU_PN_Pd
Pd,2.2796636933788554,2.250034700252219,2.4855571243805206,1.9937619831891258,QITULUNE_PN_Pd,81.3457063089405,-7.53597841898084,0.3888208877344548,7.924799306715295,-0.407756656,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/QITULUNE_PN_Pd
Pd,2.2855212460323675,2.3816877083909613,2.4865019008792357,1.97892245569948,ENUJOZAV_PN_Pd,73.34625457966445,-7.565085757284199,-0.2859862717423986,7.2790994855418,-0.405895333,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ENUJOZAV_PN_Pd
Pd,2.376730549225582,2.2309405471606305,2.510615243281146,1.9978037588731596,LIFEJOYO_PN_Pd,88.02974552519497,-7.241062870012348,-0.17416752091621562,7.066895349096132,-0.485456332,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/LIFEJOYO_PN_Pd
Pd,2.3051249863814047,2.277441906051486,2.496012261266387,1.9964552832840927,IMASAJUK_PN_Pd,92.06152566866,-7.460789579705169,0.47721261756564703,7.938002197270817,-0.428577382,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IMASAJUK_PN_Pd
Pd,2.265717111970618,2.3091043648944805,2.491201930042374,1.9946304780259452,AHIRUPAJ_PN_Pd,83.89886669145243,-7.589325114859039,0.5322629366276702,8.12158805148671,-0.385121997,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/AHIRUPAJ_PN_Pd
Pd,2.3834025233107785,2.138142327729578,2.457976141585159,2.0094598190215933,RUCOKIZO_PN_Pd,88.70206831218765,-7.35215699580457,-0.07504057232983616,7.277116423474734,-0.375382755,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/RUCOKIZO_PN_Pd
Pd,2.3246452739486756,2.2709433036745246,2.4776239117426435,1.9820664990508408,RUTECIPO_PN_Pd,82.31960915367605,-7.419976964797317,0.6529544662253952,8.072931431022711,-0.490206242,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/RUTECIPO_PN_Pd
Pd,2.281889663197939,2.3061564381837134,2.494054362167948,1.989154234492322,TOMEGUGO_PN_Pd,84.28004141019339,-7.6351901220518945,1.0512084608646985,8.686398582916594,-0.345214672,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/TOMEGUGO_PN_Pd
Pd,2.4614959332288278,2.1512151697643276,2.4471018775758155,1.9954317057077708,EJABUJIS_PN_Pd,81.83751728322048,-7.315865960693552,-0.5134840795273992,6.802381881166153,-0.280156475,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/EJABUJIS_PN_Pd
Pd,2.277834926619175,2.3268971028630148,2.508069548729922,1.9848242624194767,OGIRAQEC_PN_Pd,82.4356386599644,-7.498478599723132,-0.050781283776017296,7.4476973159471145,-0.429485029,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OGIRAQEC_PN_Pd
Pd,2.2983073929744395,2.306314956558411,2.5024483978137093,1.996477344752287,KAWEBEWI_PN_Pd,92.53943384178895,-7.455786358392951,0.50502182858178,7.960808186974731,-0.434076548,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/KAWEBEWI_PN_Pd
Pd,2.2453931505826934,2.2294482196088503,2.4807132546905213,1.9932726139851655,BERUYOSO_PN_Pd,81.4723443315651,-7.666736471220054,0.37962234296873726,8.04635881418879,-0.400181409,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/BERUYOSO_PN_Pd
Pd,2.396300868089038,2.163929789574884,2.452664941525649,2.0061749847536783,SUKAKETO_PN_Pd,82.06187540822651,-7.359089177780213,0.16301853835719532,7.522107716137408,-0.302501477,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/SUKAKETO_PN_Pd
Pd,2.2659957596481526,2.2936072112304826,2.48267235274958,1.9887730269154953,KIGOVEDA_PN_Pd,82.4158837884601,-7.446937025494996,0.5337974356111328,7.980734461106128,-0.335958976,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/KIGOVEDA_PN_Pd
Pd,2.317322534540925,2.285297437579634,2.509662185861979,1.9947679256574,UTAWATIM_PN_Pd,94.40349910850684,-7.548239297645285,0.44891904933790105,7.997158346983186,-0.411428997,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UTAWATIM_PN_Pd
Pd,2.4616817333435894,2.1594487061270575,2.4544440741849893,1.9922821932655161,OKALOXEV_PN_Pd,82.89318234607163,-7.34498968025071,-0.3362855020226612,7.008704178228049,-0.274343594,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OKALOXEV_PN_Pd
Pd,2.2666958099638377,2.2411168261829855,2.4922723400317692,1.9928562725925185,MAJITADI_PN_Pd,83.48451004837852,-7.505338154512075,-0.1507839428974573,7.354554211614618,-0.34575908,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/MAJITADI_PN_Pd
Pd,2.3712852020079245,2.169971513255806,2.4455873558595362,2.0040832728618074,IXEROFOD_PN_Pd,81.59977105260461,-7.39281932223279,-0.7188348104129167,6.6739845118198735,-0.285842067,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/IXEROFOD_PN_Pd
Pd,2.4065942150560096,2.1425124257181962,2.4446219030764706,2.007024603125944,ERAHASOH_PN_Pd,83.16959608327338,-7.374857304652365,-0.40314680575668116,6.971710498895684,-0.317998206,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ERAHASOH_PN_Pd
Pd,2.3122035898942404,2.2678010813445844,2.4970080891973354,1.9951767075023363,OZIRIZEC_PN_Pd,94.13348497515003,-7.489550598710997,0.5017807158832751,7.991331314594272,-0.362416636,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OZIRIZEC_PN_Pd
Pd,2.3577210325489464,2.1897553061234714,2.451132830551764,2.0180096680687587,URIJIFAG_PN_Pd,79.7699667925607,-6.974026255791902,0.8420781420664756,7.8161043978583775,-0.372903419,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/URIJIFAG_PN_Pd
