attempt,success,complex idx,complex name,stoichiometry,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
0,True,0.0,UYOTUQUB,C38H37F3N8O3Pd1S1,optimized,"('unq_CSD-NEVMEI-03-a', 'unq_CSD-UQIQIX-02-a', 'unq_CSD-LASRAZ-01-a')","('C13H10N2O3', 'C19H23N4', 'C6H4F3N2S1')","(-2.0, 1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
1,False,,,C47H40Cl2N6O1Pd1S2,clashing ligands,"('unq_CSD-GISKOJ-03-a', 'unq_CSD-UMAVIP-02-a', 'unq_CSD-QUDGEE-01-b')","('C13H7Cl2N5', 'C17H18N1O1S2', 'C17H15')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
2,False,,,C35H35N8O5P1Pd1S3,clashing ligands,"('unq_CSD-HAMKUC-03-a', 'unq_CSD-VOTJUM-02-a', 'unq_CSD-JIXFUS-01-b')","('C15H12N2O4', 'C5H5N3O1', 'C15H18N3P1S3')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
3,True,1.0,AZAHUBUJ,C34H57N9O3Pd1S1,optimized,"('unq_CSD-XAYBAB-03-a', 'unq_CSD-LELPOI-02-a', 'unq_CSD-SIMWAO-01-a')","('C16H32N2O3', 'C6H7N6S1', 'C12H18N1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
4,False,,,C55H33B1F15N1O6Pd1,non-planar tridentate,"('unq_CSD-QODMIG-03-a', 'unq_CSD-OHULUY-02-a', 'unq_CSD-POMBAX-01-a')","('C8H12O4', 'C38H14B1F15N1O2', 'C9H7')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
5,False,,,C76H107N2O5P3Pd1Si3,non-planar tridentate,"('unq_CSD-QOBSOR-03-a', 'unq_CSD-HOXBOM-02-a', 'unq_CSD-POBKAT-01-a')","('C10H19N2O1', 'C37H31O3P3', 'C29H57O1Si3')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
6,False,,,C39H47Cl1N3O6P1Pd1,clashing ligands,"('unq_CSD-SIMCIC-03-a', 'unq_CSD-OZOQEB-02-a', 'unq_CSD-BENQUI-01-f')","('C18H23N2O2', 'C9H16N1O2', 'C12H8Cl1O2P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
7,False,,,C87H91N8O4P1Pd1,clashing ligands,"('unq_CSD-WABMOF-03-a', 'unq_CSD-WANVEQ-02-a', 'unq_CSD-POMZUP-01-c')","('C32H49N4O4', 'C25H18N2P1', 'C30H24N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
8,False,,,C66H52As1Cl1N4O2Pd1,clashing ligands,"('unq_CSD-LOGXUC-03-a', 'unq_CSD-MAGQER-02-a', 'unq_CSD-QAJMIA-01-a')","('C18H11Cl1N2O2', 'C18H20N2', 'C30H21As1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
9,True,2.0,JEHISOQU,C23H26N10O5Pd1S1,optimized,"('unq_CSD-AGUDOY-03-a', 'unq_CSD-VAVGEF-02-a', 'unq_CSD-HIPDAN-01-b')","('C10H12N3O2S1', 'C5H7N2O1', 'C8H7N5O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
