Ligand ID,Stoichiometry,Denticity,Donors,Predicted Charge,Confident Charge,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-OZIYUT-02-a,C12H6N4,2,N-N,0,True,9b251f2d814f462e3fbe4b4529f6ad1a,9,"OZIYUT, POQROF, VOMKAK, EPUMAG, IPIROQ, ... (4 more)","Re(6), Ir(1), Pt(1), Ru(1)"
unq_CSD-OZIZAA-02-a,C12H12N2O2,2,N-N,0,True,df80a13dd9221f00d698a5746f63c98d,129,"OZIZAA, PEBWOK, PEBWOK, PODSEJ, POJDOK, ... (124 more)","Ru(31), Re(28), Ir(14), Cu(13), Ni(6), ... (16 more)"
unq_CSD-OZIZII-01-b,C6H7N1,1,N,0,True,106605a0b0c5acf30479a5a34022b0d2,530,"OZIZII, OZULIF, OZULIF, OZULIF, OZULIF, ... (525 more)","Ru(75), Ni(73), Co(61), Cu(48), Pd(47), ... (21 more)"
unq_CSD-OZOJUJ-02-a,C6H16N2,2,N-N,0,True,2e7d9b7b8adc4dce261a48c3921f8df2,647,"OZOJUJ, OZOKAQ, PABGEF, PABGIJ, PADTAR, ... (642 more)","Pd(135), Zn(93), Ni(69), Cu(59), Pt(42), ... (29 more)"
unq_CSD-OZOKIY-01-a,C7H9N1,1,N,0,True,e1755b6c8ef77e6b0434471c3eef2558,148,"OZOKIY, PABQOY, SOPDOS, TENBIX01, TENBIX01, ... (143 more)","Pd(83), Cu(31), Ag(14), Ni(10), Au(3), ... (6 more)"
unq_CSD-OZOMOI-01-d,C5H5N1,1,N,0,True,e67b60fcff0b1dddc86cc38ebe7fa3a1,5240,"OZOMOI, OZOZOT, OZOZOT, OZOZOT01, OZOZOT01, ... (5235 more)","Co(614), Ni(570), Pd(540), Ru(427), Cu(378), ... (43 more)"
unq_CSD-OZOPEZ-02-a,C2H8N2,2,N-N,0,True,f33b7d0bb8942bb23fe2c3e8c338909a,1607,"OZOPEZ, PABVUL, PABVUL, PABWAS, PABWAS, ... (1602 more)","Co(475), Ni(282), Cu(258), Zn(88), Ru(82), ... (29 more)"
unq_CSD-OZOVOP-01-a,C6H7N1,1,N,0,True,207be05f41dfa77f3b7977a5872821bd,112,"OZOVOP, OZOVOP, PIBRIE, SUXVIQ, BEHKOO01, ... (107 more)","Co(28), Ru(17), Zn(13), Pd(9), Rh(9), ... (10 more)"
unq_CSD-OZOZIN-01-a,C8H11N1,1,N,0,True,06187a512ad6973ae6725145b6163aac,50,"OZOZIN, PEWZUO, PICTAY, SOYXUB, TENHID, ... (45 more)","Ag(18), Pt(10), Ni(8), Pd(7), Cu(6), ... (1 more)"
unq_CSD-OZUQIM-02-a,C12H8N2,2,N-N,0,True,f0f85224f58d24e433045b051c4ceb93,3678,"OZUQIM, OZUQIM, OZUQIM, PABWOE, PABWOE, ... (3673 more)","Cu(693), Co(371), Ni(355), Ru(295), Fe(276), ... (39 more)"
unq_CSD-OZUQOS-02-a,C10H8N2,2,N-N,0,True,55619172b4b4933ff13c1bd31c17e3a8,4820,"OZUQOS, OZUQOS, OZUQOS, PACDIH, PACDIH, ... (4815 more)","Ru(1631), Cu(506), Ni(271), Co(228), Zn(220), ... (41 more)"
unq_CSD-PABCIH-02-a,C12H10N6,2,N-N,0,True,c8176fa0b8e0a0decb6d519264c4329f,182,"PABCIH, PABCIH, PABCIH01, PABCIH01, PABCIH02, ... (177 more)","Fe(108), Co(32), Cu(17), Ni(10), Zn(8), ... (3 more)"
unq_CSD-PABQUE-01-b,C8H6N2,1,N,0,True,b00aff54526b62a5e606a5ad9b641f29,19,"PABQUE, MADYUM, MADYUM, JOQGOL, JOQGOL, ... (14 more)","Ru(6), Co(4), Pt(4), Ag(2), Cu(2), ... (1 more)"
unq_CSD-PABYUO-02-a,C10H9N3,2,N-N,0,True,cca96214ddc8c5bf085878bde98cf1a2,403,"PABYUO, PECVOJ, PEZXEY, PEZXEY, PEZXIC, ... (398 more)","Cu(131), Co(40), Ni(39), Ru(36), Zn(30), ... (14 more)"
unq_CSD-PACLIO-01-a,C4H6N2,1,N,0,True,fdedc5b82efff597a3d098f6a559e497,994,"PACLIO, PACLIO, PAGNOA, PAJKUJ, PAJKUJ, ... (989 more)","Fe(204), Cu(159), Co(130), Ni(104), Zn(68), ... (26 more)"
unq_CSD-PACPEP-03-a,C14H10N2O2,3,O-N-O,-2,True,87f909f80ab9500c263072cf98d79bfd,32,"PACPEP, TEHYEM, LOFTIJ, BIQCEM, BIQCEM, ... (27 more)","V(13), Mo(5), Cu(5), Ti(2), Mn(2), ... (5 more)"
unq_CSD-PACXAV-01-a,H3N1,1,N,0,True,b783af999da4ccc9cbc786df2abc13c4,1608,"PACXAV, PACXAV, PAJMOC, PAJMOC, PAJMOC, ... (1603 more)","Ru(520), Pt(289), Co(258), Cu(136), Ni(136), ... (20 more)"
unq_CSD-PADGOS-03-a,C13H9N1O1S1,3,N-O-S,-2,True,8c5d58e17c52c28e4f404acd6606b33e,29,"PADGOS, PEWSUF, MAYGOI, MAYGUO, MAYHAV, ... (24 more)","Re(13), Mo(8), Ni(4), Ti(1), Co(1), ... (2 more)"
unq_CSD-PADSES-03-a,C7H14N1,3,C-C-C,-1,True,b206ac4102011156e6daa4cf398bc121,5,"PADSES, PADSES01, HODMUI, HODNAP, ROMHAC","Pt(2), Pd(2), Ir(1)"
unq_CSD-PADSIW-02-a,C6H8N2,2,N-N,0,True,f4d62f34554f737e325177979d4b6202,57,"PADSIW, SOFXIU, SOFXIU, TICFEQ, TICFEQ, ... (52 more)","Ni(16), Zn(8), Fe(7), Ru(7), Cu(4), ... (7 more)"
unq_CSD-PADTAP-02-a,C8H12N2,2,N-N,0,True,94701f0bf6f43c2182bc0d48d42d8393,4,"PADTAP, CIJGUY, EQAYAY, EQAYAY","Zn(2), V(1), Pd(1)"
unq_CSD-PADZOM-02-a,C6H8N2,2,N-N,0,True,91bfe071145d65547809a0521ddaa1eb,335,"PADZOM, PADZOM, PIZKIU, PIZKIU, PIZKOA, ... (330 more)","Fe(186), Cu(45), Ni(31), Ru(15), Pt(10), ... (13 more)"
unq_CSD-PAFCIJ-01-b,C2H3N1,1,N,0,True,2d7dc351d5610f51ec03c0d8c43d387b,4908,"PAFCIJ, PAFGAG, PAGLER, PAHNAQ, PAJSEB, ... (4903 more)","Ru(986), Fe(570), Cu(552), Ni(480), Pd(415), ... (41 more)"
unq_CSD-PAFHIO-03-a,C6H12S3,3,S-S-S,0,True,611c9c5c91c4d495fdb4b14523079c45,277,"PAFHIO, PAKFAJ, PAKFEN, PALZAD, PALZAD, ... (272 more)","Ru(91), Pd(50), Pt(34), Ni(18), Cu(8), ... (20 more)"
unq_CSD-PAFKOY-01-a,C2H3N1,1,C,0,True,4b41a049552163f4b6a218d364d84edd,108,"PAFKOY, POSZEC, POSZEC, TEFPOK, TEFPOK, ... (103 more)","Mo(24), W(20), Fe(16), Pt(14), Pd(12), ... (9 more)"
unq_CSD-PAGBEE-01-b,C3H4N2,1,N,0,True,66ead66bcc2cf9a8bec894d0055b75a1,1228,"PAGBEE, PAGBEE, PAGBEE, PAGBEE, PANGER, ... (1223 more)","Ni(295), Cu(262), Co(234), Fe(123), Zn(63), ... (16 more)"
unq_CSD-PAGDUZ-01-a,C2H7N1,1,N,0,True,69af7bc4fbc97bf018861ee28fbb83af,168,"PAGDUZ, PAGDUZ, PALHER, PALHOB, PAWWOZ, ... (163 more)","Ti(60), Zr(20), V(18), Mo(14), Ta(12), ... (14 more)"
unq_CSD-PAGMIX-01-a,C7H7N1,1,N,0,True,18fc7e945e9c10a5372170d5a9d8b4b6,109,"PAGMIX, PAGMIX, PAGMIX, PAGMIX, PAKBUZ, ... (104 more)","Ni(31), Zn(30), Co(22), Ag(8), Fe(4), ... (7 more)"
unq_CSD-PAGXAW-02-a,C14H12N2,2,N-N,0,True,8d5c1bff6173009f6e7c0b1b66ca8933,434,"PAGXAW, PAGXAW, PAYTEQ, PEQTOU, PEQXOZ, ... (429 more)","Cu(182), Ru(48), Pt(43), Re(24), Ni(24), ... (13 more)"
unq_CSD-PAHJIT-01-b,C4H11N1,1,N,0,True,ef2b3cdad471b84005a27688ac1711ca,31,"PAHJIT, BEYMID, BEYMID01, CICNEH, CICNEH, ... (26 more)","Pt(11), Fe(6), Co(5), Pd(4), Au(2), ... (3 more)"
unq_CSD-PAHJOZ-01-a,C2H7N1,1,N,0,True,26e4fc6499f556154fceeccd6581f207,40,"PAHJOZ, AXIVUY, AXIVUY, AXIVUY, AXIVUY, ... (35 more)","Pt(12), Pd(9), Cd(4), Zn(4), Cu(4), ... (5 more)"
unq_CSD-PAHKAM-02-a,C2H7N2,2,N-N,-1,True,99a87cb9dbd5f31b4e77b7ba43c6b3e6,10,"PAHKAM, SIVHIO, BOSRUW, BOSRUW, CENRHA, ... (5 more)","Co(4), Os(2), Rh(1), Ru(1), Pt(1), ... (1 more)"
unq_CSD-PAHKEQ-01-b,C6H15N1,1,N,0,True,1edf6e0f8ccf566c16699d01d973b3a8,6,"PAHKEQ, YALHID, YALHID, FIZYUL, ODCHRU, ... (1 more)","Co(2), Pd(2), Ru(2)"
unq_CSD-PAHLOA-01-f,C6H4N2,1,N,0,True,f2457f460f5e5e5b28cee90660492d24,83,"PAHLOA, LIZNOA, LIZNOA, LIZNUG, LIZNUG, ... (78 more)","Ni(28), Zn(18), Fe(8), Cu(7), Ru(5), ... (6 more)"
unq_CSD-PAHLUG-02-a,C10H6N4O4,2,N-N,0,True,2232ecd8a69533d9824442905cd75ccd,6,"PAHLUG, POQRUL, VANZAO, EPULEJ, RIVFIL, ... (1 more)","Pt(2), Pd(1), Cu(1), Re(1), Ru(1)"
unq_CSD-PAHMAN-02-a,C6H5N2O1,2,N-N,-1,True,a33983de13626183ab3cdbbe075a39e3,6,"PAHMAN, MAQQOL, MUYQUS, MUYQUS01, IFUTEK, ... (1 more)","Au(2), Cu(2), Os(1), Pd(1)"
unq_CSD-PAHMER-01-f,C7H5N1,1,N,0,True,949ab9427530ed6565beb22bb14b5b37,173,"PAHMER, PASQOR, PASQOR, PAYYET01, PAYYET01, ... (168 more)","Cu(42), Ru(33), Pt(17), Pd(16), W(10), ... (19 more)"
unq_CSD-PAHNUJ-01-d,C3H6N2,1,N,0,True,680d0faccea05160a2119c83dd340693,42,"PAHNUJ, PIDJET, LIHLOG, LIHLOG, LUMGIK, ... (37 more)","Pt(10), Ni(10), Cu(6), Zn(5), Co(4), ... (4 more)"
unq_CSD-PAHQOF-02-a,C6H10N4,2,N-N,0,True,1cb9f0bd8f20ba85d51d69ce17f00228,11,"PAHQOF, PAHQOF, POCKEZ, DOLZAF11, DOLZAF11, ... (6 more)","Cd(4), Cu(3), Co(2), Ni(2)"
